date,country,keyword,interest
2020-11-01 00:00:00,US,Bitcoin,37
2020-11-02 00:00:00,US,Bitcoin,33
2020-11-03 00:00:00,US,Bitcoin,34
2020-11-04 00:00:00,US,Bitcoin,25
2020-11-05 00:00:00,US,Bitcoin,50
2020-11-06 00:00:00,US,Bitcoin,57
2020-11-07 00:00:00,US,Bitcoin,39
2020-11-08 00:00:00,US,Bitcoin,38
2020-11-09 00:00:00,US,Bitcoin,45
2020-11-10 00:00:00,US,Bitcoin,38
2020-11-11 00:00:00,US,Bitcoin,43
2020-11-12 00:00:00,US,Bitcoin,47
2020-11-13 00:00:00,US,Bitcoin,57
2020-11-14 00:00:00,US,Bitcoin,43
2020-11-15 00:00:00,US,Bitcoin,38
2020-11-16 00:00:00,US,Bitcoin,57
2020-11-17 00:00:00,US,Bitcoin,85
2020-11-18 00:00:00,US,Bitcoin,100
2020-11-19 00:00:00,US,Bitcoin,72
2020-11-20 00:00:00,US,Bitcoin,77
2020-11-21 00:00:00,US,Bitcoin,78
2020-11-22 00:00:00,US,Bitcoin,68
2020-11-23 00:00:00,US,Bitcoin,71
2020-11-24 00:00:00,US,Bitcoin,98
2020-11-25 00:00:00,US,Bitcoin,82
2020-11-26 00:00:00,US,Bitcoin,99
2020-11-27 00:00:00,US,Bitcoin,77
2020-11-28 00:00:00,US,Bitcoin,63
2020-11-29 00:00:00,US,Bitcoin,58
2020-11-30 00:00:00,US,Bitcoin,85
2020-12-01 00:00:00,US,Bitcoin,51
2020-12-02 00:00:00,US,Bitcoin,39
2020-12-03 00:00:00,US,Bitcoin,38
2020-12-04 00:00:00,US,Bitcoin,40
2020-12-05 00:00:00,US,Bitcoin,32
2020-12-06 00:00:00,US,Bitcoin,29
2020-12-07 00:00:00,US,Bitcoin,32
2020-12-08 00:00:00,US,Bitcoin,31
2020-12-09 00:00:00,US,Bitcoin,32
2020-12-10 00:00:00,US,Bitcoin,30
2020-12-11 00:00:00,US,Bitcoin,29
2020-12-12 00:00:00,US,Bitcoin,23
2020-12-13 00:00:00,US,Bitcoin,25
2020-12-14 00:00:00,US,Bitcoin,28
2020-12-15 00:00:00,US,Bitcoin,30
2020-12-16 00:00:00,US,Bitcoin,58
2020-12-17 00:00:00,US,Bitcoin,100
2020-12-18 00:00:00,US,Bitcoin,64
2020-12-19 00:00:00,US,Bitcoin,52
2020-12-20 00:00:00,US,Bitcoin,49
2020-12-21 00:00:00,US,Bitcoin,56
2020-12-22 00:00:00,US,Bitcoin,49
2020-12-23 00:00:00,US,Bitcoin,46
2020-12-24 00:00:00,US,Bitcoin,39
2020-12-25 00:00:00,US,Bitcoin,43
2020-12-26 00:00:00,US,Bitcoin,65
2020-12-27 00:00:00,US,Bitcoin,82
2020-12-28 00:00:00,US,Bitcoin,72
2020-12-29 00:00:00,US,Bitcoin,61
2020-12-30 00:00:00,US,Bitcoin,71
2020-12-31 00:00:00,US,Bitcoin,74
2021-01-01 00:00:00,US,Bitcoin,33
2021-01-02 00:00:00,US,Bitcoin,58
2021-01-03 00:00:00,US,Bitcoin,72
2021-01-04 00:00:00,US,Bitcoin,61
2021-01-05 00:00:00,US,Bitcoin,51
2021-01-06 00:00:00,US,Bitcoin,56
2021-01-07 00:00:00,US,Bitcoin,85
2021-01-08 00:00:00,US,Bitcoin,84
2021-01-09 00:00:00,US,Bitcoin,65
2021-01-10 00:00:00,US,Bitcoin,62
2021-01-11 00:00:00,US,Bitcoin,100
2021-01-12 00:00:00,US,Bitcoin,72
2021-01-13 00:00:00,US,Bitcoin,66
2021-01-14 00:00:00,US,Bitcoin,61
2021-01-15 00:00:00,US,Bitcoin,54
2021-01-16 00:00:00,US,Bitcoin,44
2021-01-17 00:00:00,US,Bitcoin,40
2021-01-18 00:00:00,US,Bitcoin,38
2021-01-19 00:00:00,US,Bitcoin,40
2021-01-20 00:00:00,US,Bitcoin,37
2021-01-21 00:00:00,US,Bitcoin,47
2021-01-22 00:00:00,US,Bitcoin,52
2021-01-23 00:00:00,US,Bitcoin,34
2021-01-24 00:00:00,US,Bitcoin,30
2021-01-25 00:00:00,US,Bitcoin,34
2021-01-26 00:00:00,US,Bitcoin,31
2021-01-27 00:00:00,US,Bitcoin,35
2021-01-28 00:00:00,US,Bitcoin,41
2021-01-29 00:00:00,US,Bitcoin,67
2021-01-30 00:00:00,US,Bitcoin,42
2021-01-31 00:00:00,US,Bitcoin,34
2021-02-01 00:00:00,US,Bitcoin,39
2021-02-02 00:00:00,US,Bitcoin,36
2021-02-03 00:00:00,US,Bitcoin,37
2021-02-04 00:00:00,US,Bitcoin,39
2021-02-05 00:00:00,US,Bitcoin,35
2021-02-06 00:00:00,US,Bitcoin,43
2021-02-07 00:00:00,US,Bitcoin,40
2021-02-08 00:00:00,US,Bitcoin,93
2021-02-09 00:00:00,US,Bitcoin,100
2021-02-10 00:00:00,US,Bitcoin,68
2021-02-11 00:00:00,US,Bitcoin,62
2021-02-12 00:00:00,US,Bitcoin,58
2021-02-13 00:00:00,US,Bitcoin,49
2021-02-14 00:00:00,US,Bitcoin,51
2021-02-15 00:00:00,US,Bitcoin,55
2021-02-16 00:00:00,US,Bitcoin,61
2021-02-17 00:00:00,US,Bitcoin,68
2021-02-18 00:00:00,US,Bitcoin,64
2021-02-19 00:00:00,US,Bitcoin,73
2021-02-20 00:00:00,US,Bitcoin,79
2021-02-21 00:00:00,US,Bitcoin,66
2021-02-22 00:00:00,US,Bitcoin,74
2021-02-23 00:00:00,US,Bitcoin,88
2021-02-24 00:00:00,US,Bitcoin,69
2021-02-25 00:00:00,US,Bitcoin,58
2021-02-26 00:00:00,US,Bitcoin,59
2021-02-27 00:00:00,US,Bitcoin,44
2021-02-28 00:00:00,US,Bitcoin,51
2021-03-01 00:00:00,US,Bitcoin,100
2021-03-02 00:00:00,US,Bitcoin,86
2021-03-03 00:00:00,US,Bitcoin,78
2021-03-04 00:00:00,US,Bitcoin,80
2021-03-05 00:00:00,US,Bitcoin,74
2021-03-06 00:00:00,US,Bitcoin,63
2021-03-07 00:00:00,US,Bitcoin,66
2021-03-08 00:00:00,US,Bitcoin,76
2021-03-09 00:00:00,US,Bitcoin,88
2021-03-10 00:00:00,US,Bitcoin,84
2021-03-11 00:00:00,US,Bitcoin,79
2021-03-12 00:00:00,US,Bitcoin,76
2021-03-13 00:00:00,US,Bitcoin,98
2021-03-14 00:00:00,US,Bitcoin,90
2021-03-15 00:00:00,US,Bitcoin,88
2021-03-16 00:00:00,US,Bitcoin,85
2021-03-17 00:00:00,US,Bitcoin,78
2021-03-18 00:00:00,US,Bitcoin,80
2021-03-19 00:00:00,US,Bitcoin,72
2021-03-20 00:00:00,US,Bitcoin,61
2021-03-21 00:00:00,US,Bitcoin,60
2021-03-22 00:00:00,US,Bitcoin,70
2021-03-23 00:00:00,US,Bitcoin,68
2021-03-24 00:00:00,US,Bitcoin,77
2021-03-25 00:00:00,US,Bitcoin,84
2021-03-26 00:00:00,US,Bitcoin,70
2021-03-27 00:00:00,US,Bitcoin,62
2021-03-28 00:00:00,US,Bitcoin,57
2021-03-29 00:00:00,US,Bitcoin,68
2021-03-30 00:00:00,US,Bitcoin,69
2021-03-31 00:00:00,US,Bitcoin,69
2021-04-01 00:00:00,US,Bitcoin,79
2021-04-02 00:00:00,US,Bitcoin,53
2021-04-03 00:00:00,US,Bitcoin,43
2021-04-04 00:00:00,US,Bitcoin,42
2021-04-05 00:00:00,US,Bitcoin,48
2021-04-06 00:00:00,US,Bitcoin,47
2021-04-07 00:00:00,US,Bitcoin,45
2021-04-08 00:00:00,US,Bitcoin,43
2021-04-09 00:00:00,US,Bitcoin,39
2021-04-10 00:00:00,US,Bitcoin,47
2021-04-11 00:00:00,US,Bitcoin,47
2021-04-12 00:00:00,US,Bitcoin,49
2021-04-13 00:00:00,US,Bitcoin,73
2021-04-14 00:00:00,US,Bitcoin,81
2021-04-15 00:00:00,US,Bitcoin,66
2021-04-16 00:00:00,US,Bitcoin,84
2021-04-17 00:00:00,US,Bitcoin,61
2021-04-18 00:00:00,US,Bitcoin,98
2021-04-19 00:00:00,US,Bitcoin,85
2021-04-20 00:00:00,US,Bitcoin,75
2021-04-21 00:00:00,US,Bitcoin,62
2021-04-22 00:00:00,US,Bitcoin,67
2021-04-23 00:00:00,US,Bitcoin,100
2021-04-24 00:00:00,US,Bitcoin,71
2021-04-25 00:00:00,US,Bitcoin,60
2021-04-26 00:00:00,US,Bitcoin,70
2021-04-27 00:00:00,US,Bitcoin,62
2021-04-28 00:00:00,US,Bitcoin,54
2021-04-29 00:00:00,US,Bitcoin,50
2021-04-30 00:00:00,US,Bitcoin,48
2021-05-01 00:00:00,US,Bitcoin,24
