Country_Name,Country_Code,Population,GDP,Continent
Afghanistan,AFG,42647492,0,Asia
Angola,AGO,37885849,2122.08369,Africa
Albania,ALB,2714617,10011.62799,Europe
Andorra,AND,81938,49303.67339,Europe
United Arab Emirates,ARE,10876981,49377.56434,Asia
Argentina,ARG,45696159,13858.20398,South America
Armenia,ARM,3033500,8500.605225,Asia
Antigua and Barbuda,ATG,93772,23725.79037,North America
Australia,AUS,27204809,64407.48426,Oceania
Austria,AUT,9178482,56833.19605,Europe
Azerbaijan,AZE,10202850,7283.83563,Asia
Burundi,BDI,14047786,153.9302179,Africa
Belgium,BEL,11876844,55954.61063,Europe
Benin,BEN,14462724,1485.38019,Africa
Burkina Faso,BFA,23548781,987.3213781,Africa
Bangladesh,BGD,173562364,2593.416074,Asia
Bulgaria,BGR,6444366,17412.41151,Europe
Bahrain,BHR,1588670,30048.21777,Asia
"Bahamas, The",BHS,401283,39455.44665,North America
Bosnia and Herzegovina,BIH,3164253,8957.372942,Europe
Belarus,BLR,9133712,8316.647763,Europe
Belize,BLZ,417072,8429.679597,North America
Bolivia,BOL,12413315,4001.21134,South America
Brazil,BRA,211998573,10280.31486,South America
Barbados,BRB,282467,25365.79494,North America
Brunei Darussalam,BRN,462721,33417.83577,Asia
Bhutan,BTN,791524,0,Asia
Botswana,BWA,2521139,7695.242064,Africa
Central African Republic,CAF,5330690,516.1704245,Africa
Canada,CAN,41288599,54282.61761,North America
Switzerland,CHE,9034102,103669.872,Europe
Chile,CHL,19764771,16709.8894,South America
China,CHN,1408975000,13303.14815,Asia
Cote d'Ivoire,CIV,31934230,2709.895116,Africa
Cameroon,CMR,29123744,1762.368351,Africa
"Congo, Dem. Rep.",COD,109276265,647.4357048,Africa
"Congo, Rep.",COG,6332961,2482.248947,Africa
Colombia,COL,52886363,7913.988015,South America
Comoros,COM,866628,1784.115469,Africa
Cabo Verde,CPV,524877,5272.85253,Africa
Costa Rica,CRI,5129910,18587.15322,North America
Cuba,CUB,10979783,0,North America
Cyprus,CYP,1358282,38654.16797,Asia
Czechia,CZE,10882164,31706.62342,Europe
Germany,DEU,83510950,55800.21945,Europe
Djibouti,DJI,1168722,3496.471119,Africa
Dominica,DMA,66205,10405.27878,North America
Denmark,DNK,5976992,71851.75621,Europe
Dominican Republic,DOM,11427557,10875.66184,North America
Algeria,DZA,46814308,5631.179991,Africa
Ecuador,ECU,18135478,6874.70574,South America
"Egypt, Arab Rep.",EGY,116538258,3338.473714,Africa
Eritrea,ERI,3535603,0,Africa
Spain,ESP,48807137,35297.0095,Europe
Estonia,EST,1371986,31170.09151,Europe
Ethiopia,ETH,132059767,0,Africa
Finland,FIN,5637214,53188.61862,Europe
Fiji,FJI,928784,6288.398673,Oceania
France,FRA,68516699,46150.48769,Europe
"Micronesia, Fed. Sts.",FSM,113160,4166.004767,Oceania
Gabon,GAB,2538952,8218.763071,Africa
United Kingdom,GBR,69226000,52636.78659,Europe
Georgia,GEO,3673850,9193.663664,Asia
Ghana,GHA,34427414,2405.794664,Africa
Guinea,GIN,14754785,1717.023181,Africa
"Gambia, The",GMB,2759988,908.5256742,Africa
